=== skchr_kroos_1 ===
  .f0: skchr_kroos_1
  .f3[0].f0: 二连射·自动
  .f3[0].f2: 下次攻击时连续射击<@ba.vup>{times}</>次，每次射击造成相当于攻击力<@ba.vup>{atk_scale:0%}</>的物理伤害
  .f3[0].f6: skchr_kroos_1
  .f3[1].f0: 二连射·自动
  .f3[1].f2: 下次攻击时连续射击<@ba.vup>{times}</>次，每次射击造成相当于攻击力<@ba.vup>{atk_scale:0%}</>的物理伤害
  .f3[1].f6: skchr_kroos_1
  .f3[2].f0: 二连射·自动
  .f3[2].f2: 下次攻击时连续射击<@ba.vup>{times}</>次，每次射击造成相当于攻击力<@ba.vup>{atk_scale:0%}</>的物理伤害
  .f3[2].f6: skchr_kroos_1
  .f3[3].f0: 二连射·自动
  .f3[3].f2: 下次攻击时连续射击<@ba.vup>{times}</>次，每次射击造成相当于攻击力<@ba.vup>{atk_scale:0%}</>的物理伤害
  .f3[3].f6: skchr_kroos_1
  .f3[4].f0: 二连射·自动
  .f3[4].f2: 下次攻击时连续射击<@ba.vup>{times}</>次，每次射击造成相当于攻击力<@ba.vup>{atk_scale:0%}</>的物理伤害
  .f3[4].f6: skchr_kroos_1
  .f3[5].f0: 二连射·自动
  .f3[5].f2: 下次攻击时连续射击<@ba.vup>{times}</>次，每次射击造成相当于攻击力<@ba.vup>{atk_scale:0%}</>的物理伤害
  .f3[5].f6: skchr_kroos_1
  .f3[6].f0: 二连射·自动
  .f3[6].f2: 下次攻击时连续射击<@ba.vup>{times}</>次，每次射击造成相当于攻击力<@ba.vup>{atk_scale:0%}</>的物理伤害
  .f3[6].f6: skchr_kroos_1

