.f0: 可露希尔

.f1: 可以在攻击范围内选择一次<@ba.kw>战术点</>来召唤援军，自身攻击援军阻挡的敌人时攻击力提升至150%

.f5[1].f0.f1: 第二天赋效果增强

.f7: p_char_4228_closur

.f10: rhodes

.f15: R00A

.f16: Closure

.f18[0]: 费用回复

.f19: 罗德岛总工程师可露希尔，以先锋身份亲临前线！

.f20: 和她一起亲临前线的还有工具组、无人机、零食，以及她脑子里那些亟待解决的工程问题。

.f21: 招募寻访

.f27: tactician

.f29[0].f0: char_4228_closur

.f29[0].f1: 3-1

.f29[1].f0: char_4228_closur

.f29[1].f1: 3-3

.f29[1].f2[0]: 30032

.f29[1].f2[7]: 3211

.f29[1].f4[0].f0: 3211

.f29[1].f4[1].f0: 30032

.f29[1].f4[2].f0: 30052

.f29[1].f4[2].f2[380]: 3301

.f29[2].f0: char_4228_closur

.f29[2].f1: 3-3

.f29[2].f4[0].f0: 3213

.f29[2].f4[1].f0: 30155

.f29[2].f4[2].f0: 30044

.f29[2].f4[2].f2[10]: 无垠之心

.f29[2].f4[2].f2[452]: 3301

.f30[0].f0: skchr_closur_1

.f30[0].f3[1].f1: prob

.f30[0].f3[2].f1: skchr_phenxi_1

.f30[1].f0: skchr_closur_2

.f30[1].f3[2].f1: skchr_phenxi_2

.f30[2].f0: skchr_closur_3

.f30[2].f3[2].f1: skchr_phenxi_3

.f31[0].f0: token_10066_closur_ourbase

.f33[0].f1: 部署费用-1

.f33[1].f1: 第二天赋效果增强

.f33[2].f1: 攻击力+25

.f33[3].f1: 攻击速度+8

.f33[4].f1: 部署费用-1

.f35[0].f1[0].f0: 3301

.f35[1].f1[0].f0: 3301

.f35[1].f1[1].f0: 30051

.f35[1].f1[2].f0: 30011

.f35[3].f1[0].f0: 3302

.f35[3].f1[0].f1: 3302

.f35[3].f1[1].f0: 30012

.f35[3].f1[2].f0: 30062

.f35[3].f1[2].f2[69]: 3301

.f35[5].f1[0].f0: 3303

.f35[5].f1[0].f1: 3303

.f35[5].f1[1].f0: 30033

.f35[5].f1[2].f0: 30063

.f35[5].f1[2].f2[123]: 3301

